yyyy-mm-dd,Giá mở cửa,Giá trần,Giá sàn,Giá đóng cửa,Khối lượng giao dịch,H-L,O-C,SMA_20,SMA_50,SMA_200,SD_50,SD_200,RSI
2024-09-16,21.35,21.8,21.02,21.02,2007657,0.7800000000000011,0.33000000000000185,21.5065,20.9738,21.8329,0.6418878088759795,1.0341746350976722,52.76497695852533
2024-09-17,21.02,21.6,21.02,21.45,2239274,0.5800000000000018,-0.4299999999999997,21.55,20.9888,21.83675,0.6441182550825159,1.031290325844721,54.13870246085011
2024-09-18,21.45,21.65,21.32,21.32,2749621,0.3299999999999983,0.129999999999999,21.587,21.0112,21.83875,0.6355445680352532,1.02989043545672,30.351437699680503
2024-09-19,21.4,21.6,21.35,21.45,2241321,0.25,-0.05000000000000071,21.617,21.032200000000003,21.84,0.6322757406739808,1.0292627990691905,37.11340206185566
2024-09-20,21.5,21.82,21.15,21.15,3928381,0.6700000000000017,0.3500000000000014,21.6285,21.0492,21.83935,0.6235541316533587,1.02965919985168,34.726688102893846
2024-09-23,21.45,21.45,21.18,21.18,1715004,0.2699999999999996,0.2699999999999996,21.6485,21.061799999999998,21.84085,0.6196137374795713,1.028472437781581,35.35031847133756
2024-09-24,21.2,21.32,21.18,21.28,1440365,0.14000000000000057,-0.08000000000000185,21.6735,21.0698,21.842,0.6198007909063178,1.0277120023620436,38.53503184713377
2024-09-25,21.38,21.45,21.2,21.3,3722530,0.25,0.0799999999999983,21.6845,21.082199999999997,21.8411,0.6180426311165639,1.0281093493256739,26.89393939393942
2024-09-26,21.3,21.55,21.3,21.3,2770560,0.25,0.0,21.622,21.097800000000003,21.8406,0.6133890132962828,1.0283492357918953,29.09836065573772
2024-09-27,21.45,21.45,21.22,21.25,2742859,0.23000000000000043,0.1999999999999993,21.5745,21.1168,21.839850000000002,0.6027943095217235,1.0287268208126503,35.14851485148513
2024-09-30,21.2,21.3,21.0,21.0,2927542,0.3000000000000007,0.1999999999999993,21.5195,21.131400000000003,21.837850000000003,0.5905825902600772,1.0299743264107766,36.97916666666668
2024-10-01,21.02,21.38,21.02,21.15,1917447,0.35999999999999943,-0.129999999999999,21.471999999999998,21.1468,21.836199999999998,0.5805431657912044,1.0308144606384375,41.54589371980673
2024-10-02,21.18,21.2,21.02,21.02,1528683,0.17999999999999972,0.16000000000000014,21.423,21.1596,21.831200000000003,0.5702557965240889,1.0323425865866467,39.99999999999999
2024-10-03,21.05,21.22,20.68,20.68,3467194,0.5399999999999991,0.370000000000001,21.331,21.1648,21.823999999999998,0.5645306520843598,1.0353355002075202,34.53815261044177
2024-10-04,20.68,20.68,20.45,20.5,2146881,0.23000000000000043,0.17999999999999972,21.240000000000002,21.1658,21.81675,0.5632815296391214,1.0395171557436815,38.392857142857146
2024-10-07,20.55,20.78,20.42,20.42,1655562,0.35999999999999943,0.129999999999999,21.168499999999998,21.1582,21.80935,0.5708307229692963,1.0441789241447785,22.751322751322775
2024-10-08,20.52,20.52,20.3,20.45,2652281,0.21999999999999886,0.07000000000000028,21.116,21.1512,21.802349999999997,0.5774208665633693,1.0485884158377643,25.69832402234627
2024-10-09,20.52,20.8,20.5,20.8,1212013,0.3000000000000007,-0.28000000000000114,21.080999999999996,21.151200000000003,21.79835,0.5774208665633693,1.0508875299015206,33.8308457711443
2024-10-10,20.8,20.82,20.65,20.7,1473434,0.1700000000000017,0.10000000000000142,21.0435,21.143199999999997,21.79385,0.5809051346908024,1.053664425282326,37.56906077348067
2024-10-11,20.7,20.98,20.68,20.9,1711832,0.3000000000000007,-0.1999999999999993,21.016,21.1382,21.79025,0.5819204307764397,1.0554898062775337,42.929292929292885
2024-10-14,21.25,21.7,21.08,21.08,4269106,0.620000000000001,0.1700000000000017,21.019,21.138799999999996,21.78765,0.5818430954776702,1.0566006826197727,45.14563106796109
2024-10-15,21.12,21.25,20.78,20.82,1849949,0.46999999999999886,0.3000000000000007,20.9875,21.1352,21.783849999999997,0.5832745004344678,1.0587157658523505,39.565217391304316
2024-10-16,20.75,20.9,20.72,20.75,1212195,0.17999999999999972,0.0,20.958999999999996,21.137200000000004,21.7791,0.5817462803437704,1.0612220082309716,38.39662447257379
2024-10-17,20.88,20.9,20.72,20.78,1031970,0.17999999999999972,0.09999999999999787,20.9255,21.1398,21.774100000000004,0.5798116865299198,1.0635709217196783,39.99999999999999
2024-10-18,20.85,21.1,20.85,20.9,1176381,0.25,-0.04999999999999716,20.913,21.1342,21.7696,0.5807668751446153,1.0653632404822602,47.74774774774771
2024-10-21,20.92,21.45,20.92,21.12,2222103,0.5299999999999976,-0.1999999999999993,20.91,21.1386,21.7641,0.5797888778314724,1.065865628345548,49.34497816593892
2024-10-22,21.3,21.3,21.1,21.1,2048252,0.1999999999999993,0.1999999999999993,20.901,21.148600000000002,21.7581,0.5745983868080247,1.0662112464753695,51.834862385321145
2024-10-23,21.35,22.15,21.35,21.6,5019864,0.7999999999999972,-0.25,20.916,21.1746,21.756099999999996,0.5647437923699066,1.0661303671685762,69.65811965811972
2024-10-24,21.5,21.55,21.02,21.02,2058500,0.5300000000000011,0.4800000000000004,20.902,21.188000000000002,21.750799999999998,0.5525968379443178,1.0671463661720353,59.489051094890506
2024-10-25,21.1,21.15,20.78,20.78,2050397,0.36999999999999744,0.3200000000000003,20.8785,21.1956,21.7443,0.5440856775267404,1.0690885189293455,56.20689655172413
2024-10-28,20.8,20.88,20.72,20.72,1475845,0.16000000000000014,0.08000000000000185,20.8645,21.202,21.73765,0.5363634162446677,1.0713115887082112,54.607508532423196
2024-10-29,20.75,20.85,20.65,20.68,1286477,0.20000000000000284,0.07000000000000028,20.841,21.203999999999997,21.73015,0.5341787517071851,1.073447682533102,47.709923664122115
2024-10-30,20.72,20.85,20.4,20.5,2028990,0.45000000000000284,0.21999999999999886,20.815,21.202399999999997,21.7229,0.5362019114063793,1.0768465920986992,46.296296296296305
2024-10-31,20.7,20.85,20.52,20.78,1829419,0.33000000000000185,-0.08000000000000185,20.82,21.201000000000004,21.7178,0.5372311857466129,1.0788930489419635,47.84172661870508
2024-11-01,20.78,20.8,20.55,20.6,1341319,0.25,0.17999999999999972,20.825,21.1946,21.711699999999997,0.5425270048765721,1.0817574152866474,41.366906474820205
2024-11-04,20.7,20.75,20.52,20.6,1346740,0.23000000000000043,0.09999999999999787,20.834,21.191,21.707199999999997,0.5459208659106836,1.0845109404240731,45.63492063492066
2024-11-05,20.6,20.65,20.52,20.65,964121,0.129999999999999,-0.04999999999999716,20.844,21.1884,21.702849999999998,0.548222954794125,1.0870074995233983,47.99999999999997
2024-11-06,20.75,21.0,20.7,20.9,1523242,0.3000000000000007,-0.14999999999999858,20.849,21.1848,21.699450000000002,0.5495387305062914,1.0884561920029479,52.20588235294113
2024-11-07,21.0,21.12,20.85,20.85,1174467,0.2699999999999996,0.14999999999999858,20.8565,21.1508,21.6957,0.5148442998238977,1.0900912828865004,49.05660377358496
